Family,Genus,Species,Common Names,Page_Link,Number_Of_Ethograms
Charadriidae,Vanellus,Vanellus vanellus,"EN Northern Lapwing; NL Kievit; FR Vanneau Huppe",https://vandenbergrf.github.io/EthogramArchive/Eukaryota/Animalia/Bilateria/Deuterostomia/Chordata/Tetrapoda/Sauropsida/Aves/Charadriiformes/Charadriidae/Vanellus/Vanellus_vanellus,0
Charadriidae,Vanellus,Vanellus chilensis,"EN Southern Lapwing; NL Chileense kievit; FR Vanneau tero",https://vandenbergrf.github.io/EthogramArchive/Eukaryota/Animalia/Bilateria/Deuterostomia/Chordata/Tetrapoda/Sauropsida/Aves/Charadriiformes/Charadriidae/Vanellus/Vanellus_chilensis,0
